n, t
0, 3.910064697265625e-05
20000, 0.3097720146179199
40000, 0.5794439315795898
60000, 0.9598598480224609
80000, 1.3524219989776611
100000, 1.7265820503234863
120000, 2.116079092025757
140000, 2.5867578983306885
160000, 3.0737860202789307
180000, 3.5336227416992188
200000, 3.9378209114074707
220000, 4.398856163024902
240000, 4.864601135253906
260000, 7.577777147293091
280000, 8.057751893997192
300000, 8.500249147415161
320000, 9.016128063201904
340000, 9.567137956619263
360000, 10.185749053955078
380000, 10.462028980255127
400000, 11.124229907989502
420000, 11.51251482963562
440000, 11.98723816871643
460000, 12.663516998291016
480000, 13.012266159057617
500000, 13.577316999435425
520000, 14.033505916595459
540000, 14.681756973266602
560000, 15.039742946624756
580000, 15.663501262664795
600000, 16.114417791366577
620000, 16.614579916000366
640000, 17.241910934448242
660000, 18.165423154830933
680000, 19.8437397480011
700000, 19.99773907661438
720000, 20.775357007980347
740000, 21.08308506011963
760000, 21.733560800552368
780000, 26.166704893112183
800000, 26.987591981887817
820000, 26.921081066131592
840000, 26.952257871627808
860000, 27.456517934799194
880000, 28.99193501472473
900000, 29.61103105545044
920000, 29.967729806900024
940000, 30.503840923309326
960000, 31.33772897720337
980000, 31.992445945739746
1000000, 33.156984090805054
1020000, 32.907296657562256
1040000, 33.5161030292511